City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,namatanai,-3.6667,152.4333,26.08,80,99,1.71,PG,1680279148
294,oistins,13.0667,-59.5333,31.05,58,40,11.32,BB,1680278932
295,tilichiki,60.4667,166.1,-10.73,98,98,0.28,RU,1680279149
296,columbus,39.9612,-82.9988,11.59,92,100,8.75,US,1680279084
297,lavrentiya,65.5833,-171.0,-21.15,96,5,1.19,RU,1680279133
298,mount isa,-20.7333,139.5,25.87,24,38,4.63,AU,1680279151
299,eureka,40.8021,-124.1637,9.4,77,100,2.68,US,1680279151
300,manggar,-2.8833,108.2667,26.32,76,100,1.2,ID,1680279152
301,sola,-13.8833,167.55,27.59,76,64,3.88,VU,1680279152
302,malakal,9.5334,31.6605,34.91,8,73,2.47,SS,1680279153
303,changping,40.2186,116.2197,13.8,30,100,1.95,CN,1680279153
304,churapcha,62.0025,132.4325,-8.75,95,100,3.91,RU,1680279153
305,luba,3.4568,8.5547,26.36,80,100,0.54,GQ,1680279154
306,maunabo,18.0072,-65.8993,30.12,58,11,6.87,PR,1680279154
307,mapiripan,2.8892,-72.1256,33.9,39,97,3.78,CO,1680279154
308,nolinsk,57.5596,49.9363,4.16,94,100,5.8,RU,1680279155
309,celestun,20.8667,-90.4,29.23,53,59,4.53,MX,1680279156
310,bilibino,68.0546,166.4372,-10.7,96,100,1.83,RU,1680279156
311,almeirim,-1.5233,-52.5817,27.47,82,100,1.91,BR,1680279057
312,vestmannaeyjar,63.4427,-20.2734,7.58,94,100,8.98,IS,1680279157
313,talnakh,69.4865,88.3972,-19.89,97,96,4.87,RU,1680279157
314,togur,58.3631,82.8265,-12.65,94,90,1.61,RU,1680279158
315,jinka,5.65,36.65,19.52,79,98,0.39,ET,1680279158
316,kardla,58.9978,22.7492,0.99,75,20,6.17,EE,1680279158
317,nuenen,51.47,5.5528,12.27,82,75,7.72,NL,1680279159
318,artyom,40.4723,50.333,5.08,85,100,14.33,AZ,1680279159
319,ayorou,14.7308,0.9174,38.21,3,0,4.78,NE,1680279160
320,altamira,-3.2033,-52.2064,27.14,79,100,2.0,BR,1680278980
321,atar,20.5169,-13.0499,36.73,3,0,9.91,MR,1680279161
322,nantucket,41.2835,-70.0995,8.08,44,0,5.66,US,1680279162
323,kupang,-10.1667,123.5833,25.04,87,93,2.17,ID,1680279162
324,san quintin,30.4833,-115.95,13.11,60,98,1.37,MX,1680279162
325,cidreira,-30.1811,-50.2056,28.19,59,0,1.33,BR,1680279163
326,antipino,57.1068,65.7576,0.3,80,75,5.22,RU,1680279164
327,birjand,32.8663,59.2211,19.26,16,40,2.06,IR,1680279164
328,bilma,18.6853,12.9164,32.01,9,6,4.01,NE,1680279165
329,juneau,58.3019,-134.4197,3.01,94,100,6.69,US,1680279035
330,haines junction,60.7522,-137.5108,-7.25,95,100,0.63,CA,1680279165
331,huarmey,-10.0681,-78.1522,27.34,73,22,4.56,PE,1680279166
